추첨일,회차,당첨번호,보너스번호,1등_총당첨금액,1등_당첨게임수,1등_1게임당당첨금액,2등_총당첨금액,2등_당첨게임수,2등_1게임당당첨금액,3등_총당첨금액,3등_당첨게임수,3등_1게임당당첨금액,4등_총당첨금액,4등_당첨게임수,4등_1게임당당첨금액,5등_총당첨금액,5등_당첨게임수,5등_1게임당당첨금액,자동/반자동/수동,총판매금액
(2002- 12- 07),1회,"10, 23, 29, 33, 37, 40",16,0원,0,0원,"143,934,100원",1,"143,934,100원","143,934,000원",28,"5,140,500원","287,695,800원","2,537","113,400원","401,550,000원","40,155","10,000원",,"3,681,782,000원"
(2002- 12- 14),2회,"9, 13, 21, 25, 32, 42",2,"2,002,006,800원",1,"2,002,006,800원","189,733,600원",2,"94,866,800원","189,726,000원",103,"1,842,000원","379,310,400원","3,763","100,800원","554,800,000원","55,480","10,000원",,"4,904,274,000원"
(2002- 12- 21),3회,"11, 16, 19, 21, 27, 31",30,"2,000,000,000원",1,"2,000,000,000원",0원,0,0원,"163,199,900원",139,"1,174,100원","326,106,000원","5,940","54,900원","732,560,000원","73,256","10,000원",,"4,729,342,000원"
(2002- 12- 28),4회,"14, 27, 30, 31, 40, 42",2,0원,0,0원,"211,191,200원",1,"211,191,200원","211,189,600원",29,"7,282,400원","422,381,700원","2,777","152,100원","523,820,000원","52,382","10,000원",,"5,271,464,000원"
(2003- 01- 04),5회,"16, 24, 29, 40, 41, 42",3,0원,0,0원,0원,0,0원,"253,419,600원",42,"6,033,800원","506,659,500원","3,043","166,500원","604,340,000원","60,434","10,000원",,"6,277,102,000원"
(2003- 01- 11),6회,"14, 15, 26, 27, 40, 42",34,"6,574,451,700원",1,"6,574,451,700원","588,892,800원",3,"196,297,600원","588,887,400원",138,"4,267,300원","1,177,782,000원","13,445","87,600원","1,763,750,000원","176,375","10,000원",,"15,305,356,000원"
(2003- 01- 18),7회,"2, 9, 16, 25, 26, 40",42,0원,0,0원,"433,485,000원",9,"48,165,000원","433,485,000원",270,"1,605,500원","866,499,500원","13,229","65,500원","2,062,590,000원","206,259","10,000원",,"12,794,890,000원"
(2003- 01- 25),8회,"8, 19, 25, 34, 37, 39",9,0원,0,0원,"789,330,000원",6,"131,555,000원","789,298,800원",348,"2,268,100원","1,577,829,500원","14,279","110,500원","2,482,420,000원","248,242","10,000원",,"20,751,450,000원"
(2003- 02- 01),9회,"2, 4, 16, 17, 36, 39",14,0원,0,0원,"3,077,826,000원",4,"769,456,500원","3,077,817,600원",352,"8,743,800원","6,154,720,000원","23,672","260,000원","6,033,750,000원","603,375","10,000원",,"73,624,020,000원"
(2003- 02- 08),10회,"9, 25, 30, 33, 41, 44",6,"83,595,692,700원",13,"6,430,437,900원","9,631,962,400원",236,"40,813,400원","9,631,930,800원","11,247","856,400원","19,198,288,200원","703,234","27,300원","34,108,460,000원","3,410,846","10,000원",,"260,856,392,000원"
